time_ms,force_N
0.0,0.0
0.1,980.0
0.2,980.0
0.5,980.0
1.0,980.0
1.5,980.0
2.0,980.0
2.5,980.0
3.0,980.0
3.5,980.0
4.0,980.0
4.5,980.0
4.9,980.0
5.0,0.0
5.5,0.0
6.0,0.0
