time_ms,force_N
0.0,0.0
0.5,183.75
1.0,367.5
1.5,551.25
2.0,735.0
2.5,918.75
3.0,1102.5
3.5,1286.25
4.0,1470.0
4.5,1470.0
5.0,1225.0
5.5,980.0
6.0,735.0
6.5,490.0
7.0,245.0
7.5,122.5
8.0,0.0
